AU|OC-AU
CN|AS-CN
JP|AS-JP
TH|AS-TH
IN|AS-IN
HK|AS-HK
US|NA-US
MY|AS-MY
KR|AS-KR
SG|AS-SG
TW|AS-TW
KH|AS-KH
PH|AS-PH
VN|AS-VN
FR|EU-FR
PL|EU-PL
NL|EU-NL
DE|EU-DE
ES|EU-ES
RU|EU-RU
CH|EU-CH
GB|EU-GB
IT|EU-IT
CZ|EU-CZ
IE|EU-IE
DK|EU-DK
PT|EU-PT
SE|EU-SE
GH|AF-GH
TR|EU-TR
CM|AF-CM
ZA|AF-ZA
FI|EU-FI
HU|EU-HU
AE|AS-AE
GR|EU-GR
BR|SA-BR
AT|EU-AT
JO|AS-JO
BE|EU-BE
RO|EU-RO
LU|EU-LU
UG|AF-UG
AM|AS-AM
TZ|AF-TZ
BI|AF-BI
AR|SA-AR
UY|SA-UY
BG|EU-BG
IL|AS-IL
UA|EU-UA
QA|AS-QA
KZ|AS-KZ
SA|AS-SA
IR|AS-IR
NO|EU-NO
CA|NA-CA
SY|AS-SY
KW|AS-KW
BH|AS-BH
LB|AS-LB
OM|AS-OM
IQ|AS-IQ
GE|AS-GE
AZ|AS-AZ
ZM|AF-ZM
ZW|AF-ZW
CD|AF-CD
AO|AF-AO
PS|AS-PS
LT|EU-LT
SK|EU-SK
RS|EU-RS
IS|EU-IS
SI|EU-SI
MD|EU-MD
MK|EU-MK
LI|EU-LI
JE|EU-JE
HR|EU-HR
BA|EU-BA
EE|EU-EE
LV|EU-LV
KG|AS-KG
TJ|AS-TJ
IM|EU-IM
MT|EU-MT
GI|EU-GI
LY|AF-LY
YE|AS-YE
BY|EU-BY
YT|AF-YT
RE|AF-RE
GP|NA-GP
GY|SA-GY
CY|EU-CY
MQ|NA-MQ
ID|AS-ID
GU|OC-GU
MX|NA-MX
VE|SA-VE
PR|NA-PR
GD|NA-GD
MN|AS-MN
NZ|OC-NZ
BD|AS-BD
PK|AS-PK
NP|AS-NP
PG|OC-PG
TT|NA-TT
CL|SA-CL
LS|AF-LS
CO|SA-CO
GT|NA-GT
MO|AS-MO
EC|SA-EC
LK|AS-LK
EG|AF-EG
CR|NA-CR
VG|NA-VG
JM|NA-JM
LC|NA-LC
KY|NA-KY
NG|AF-NG
PE|SA-PE
CW|NA-CW
BB|NA-BB
BS|NA-BS
TK|OC-TK
MV|AS-MV
AF|AS-AF
NC|OC-NC
FJ|OC-FJ
WF|OC-WF
AL|EU-AL
UZ|AS-UZ
SM|EU-SM
ME|EU-ME
TL|OC-TL
MC|EU-MC
GN|AF-GN
GG|EU-GG
MM|AS-MM
BM|NA-BM
VC|NA-VC
VI|NA-VI
MF|NA-MF
SR|SA-SR
BL|NA-BL
HT|NA-HT
AG|NA-AG
LR|AF-LR
KE|AF-KE
BW|AF-BW
MZ|AF-MZ
SN|AF-SN
MG|AF-MG
NA|AF-NA
CI|AF-CI
SD|AF-SD
MW|AF-MW
GA|AF-GA
ML|AF-ML
BJ|AF-BJ
TD|AF-TD
CV|AF-CV
RW|AF-RW
CG|AF-CG
GM|AF-GM
MU|AF-MU
DZ|AF-DZ
SZ|AF-SZ
BF|AF-BF
SL|AF-SL
SO|AF-SO
NE|AF-NE
CF|AF-CF
TG|AF-TG
SS|AF-SS
GQ|AF-GQ
SC|AF-SC
DJ|AF-DJ
MA|AF-MA
MR|AF-MR
KM|AF-KM
IO|AS-IO
TN|AF-TN
LA|AS-LA
BN|AS-BN
BT|AS-BT
NR|OC-NR
VU|OC-VU
FM|OC-FM
PF|OC-PF
TO|OC-TO
HN|NA-HN
BO|SA-BO
DO|NA-DO
SV|NA-SV
NI|NA-NI
PA|NA-PA
BZ|NA-BZ
MP|OC-MP
PY|SA-PY
GF|SA-GF
GL|NA-GL
AD|EU-AD
FO|EU-FO
NU|OC-NU
KI|OC-KI
MH|OC-MH
PW|OC-PW
WS|OC-WS
SB|OC-SB
TV|OC-TV
KP|AS-KP
VA|EU-VA
ER|AF-ER
ET|AF-ET
GW|AF-GW
ST|AF-ST
TM|AS-TM
CU|NA-CU
DM|NA-DM
KN|NA-KN
AW|NA-AW
TC|NA-TC
AS|OC-AS
SX|NA-SX
AI|NA-AI
PM|NA-PM
AX|EU-AX
NF|OC-NF
BQ|NA-BQ
AQ|AN-AQ
FK|SA-FK
MS|NA-MS
CK|OC-CK
TR|AS-TR
